ABA DE ORIGEM,LINHA,VIATURA ENCONTRADA,TIPO DE SERVIÇO,CONTEÚDO DA LINHA
 MANUTENÇÃO-2025,48,ABS-17201,PNEU,"***** 3206 ***** ABS-17201 ***** 1.FORNECERESUBSTITUIR,02(DOIS)PNEUSDEPRIMEIRALINHA,MARCAPIRELLI-275/80R22.5;
2.FORNECERESUBSTITUIR,02BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA ***** R$- CANCELADONANEO SERÁUTILIZADORECURSOPRÓPRIO"
 MANUTENÇÃO-2025,68,ASE-17101,PNEU EMBREAGEM,"***** 3314 ***** ASE-17101 ***** 1.SERVIÇOSASEREMEXECUTADOS:
EXECUTAR:
-RETIFICACOMPLETADEMOTORCONFORMENBR13032/09ENBR15831/10;
-DESMONTAGEM,MONTAGEM,LIMPEZAEINSTALAÇÃODOMOTORNAVIATURA;
-PINTURADOMOTOR;
-RETIFICADORADIADORDEÓLEODOMOTOR;
-RETIFICADOCOMPRESSORDEAR;
-RECONDICIONARBOMBAINJETORA;
-TESTEDERODAGEM,REALIZADOPORTÉCNICODOCORPODEBOMBEIROSEACOMPANHADOPORREPRESENTANTETÉCNICODAEMPRESAGANHADORADOCERTAME.
FORNECERESUBSTITUIR:
-01(UM)KITDEJUNTASDOMOTOR;
-01(UMA)VÁLVULADEPRESSÃODEÓLEOMOTOR;
-01(UM)VOLANTEDOMOTOR;
-03(TRÊS)CABEÇOTESCOMPLETOS(NOVOS);
-01(UM)KITDEBRONZINASDEMANCAL(CASQUILHODEMANCAL);
-01(UM)KITDEARRUELASDEENCOSTO;
-12(DOZE)PARAFUSODEBIELADOMOTOR;
-02(DUAS)CORREIASDOMOTOR;
-06(SEIS)BRONZINASDEBIELA(CASQUILHODEBIELA);
-06(SEIS)KITSDECILINDROS;
-12(DOZE)TUCHOSDEVÁLVULAS;
-06(SEIS)BICOSINJETORES;
-01(UM)TURBOCOMPRESSOR;
-01(UMA)BOMBADEÓLEOLUBRIFICANTE;
-01(UM)RETENTORDIANTEIRODOVIRABREQUIM;
-01(UM)RETENTORTRASEIRODOVIRABREQUIM.
SISTEMADEARREFECIMENTO
-01(UMA)BOMBAD’ÁGUA;
-01(UMA)VÁLVULASTERMOSTÁTICAS;
-01(UM)RADIADOR;
-01(UMA)TAMPADORESERVATÓRIODEEXPANSÃO.
OBS:TODASASMANGUEIRASDOSISTEMADEARREFECIMENTOEABRAÇADEIRASDEVEMSERFORNECIDASETROCADAS.
SUSPENSÃOEFREIO

EXECUTAR:
-RECONDICIONAMENTODASSEGUINTESPEÇAS:
A)MANGASDEEIXO;
B)CATRACASDEFREIO;
C)CAIXADEDIREÇÃO.
-ALINHAMENTODEDIREÇÃO;
-BALANCEAMENTODERODAS.
FORNECERESUBSTITUIR:
-01(UM)JOGOLONASDEFREIODIANTEIRO;
-01(UM)JOGOLONASDEFREIOTRASEIRO;
-02(DOIS)TAMBORESDEFREIODIANTEIRO;
-02(DOIS)TAMBORESDEFREIOTRASEIRO;
-02(DOIS)CUICASDOFREIOTRASEIRO;
-02(DOIS)JOGODEROLAMENTODOCUBODERODATRASEIROINTERNOEEXTERNO;
-02(DOIS)RETENTORDOCUBODARODATRASEIRADIREITOEESQUERDO;
LUBRIFICAÇÃOEFILTROS
FORNECERESUBSTITUIR:
-01(UM)CONJUNTODEFILTRODECOMBUSTÍVEL,COMPOSTOPOR:
A)FILTRODECOMBUSTÍVELPRIMÁRIO;
B)FILTRODECOMBUSTÍVELSECUNDÁRIO.
-01(UM)FILTRODEÓLEOLUBRIFICANTE;
-01(UM)FILTRODEAR;
-22(VINTEEDOIS)LITROSDEÓLEOLUBRIFICANTE(15W40)DOCÁRTER;
-15(QUINZE)LITROSDEÓLEODEDIFERENCIAL;
-22(VINTEEDOIS)LITROSDEÓLEODOCAMBIO.
TRANSMISSÃO
EXECUTAR:
-RECONDICIONAMENTODASSEGUINTEPEÇA:
-01(UM)RECONDICIONAMENTODOCAMBIO.
FORNECERESUBSTITUIR:
-01(UM)KITDEEMBREAGEM;
-01(UM)GARFODAEMBREAGEM;
-01(UM)ATUADORDEEMBREAGEM.
CARDAN
EXECUTAR:
-RECONDICIONAMENTODOCARDAN.
FORNECERESUBSTITUIR:
-CRUZETAS;
-PONTOSDELUBRIFICAÇÃO;
-PORCASDEFIXAÇÃO.
IMPLEMENTO
REPARARTODOSOSCILINDROSPERTINENTESAOSDIVERSOSMOVIMENTOSDOGUINDAUTO:
-02CILINDROSDEAPOIOAOSOLO,ESQUERDOEDIREITA;
-02CILINDROSDOSMOVIMENTOSDEGIRO,ESQUERDAEDIREITA;
-01CILINDRODEELEVAÇÃODOPRIMEIROBRAÇO;
-01CILINDRODEELEVAÇÃODOSEGUNDOBRAÇO;
-01CILINDRODEEXTENSÃODOSEGUNDOBRAÇO
REPAROCONSISTEEM(EXECUÇÃO):
-RETIRAROCILINDROHIDRÁULICODAVIATURA;
-DESMONTARCILINDROHIDRÁULICONABANCADA;
-RETIRAR,RETIFICARECROMARAHASTEDOCILINDRO;
-BRUNIRCAMISADOCILINDRO;
-MONTARCILINDROHIDRÁULICONABANCADA;
-REALIZARREPARODEUSINAGEMNOCILINDRO;
-MONTARCILINDROHIDRÁULICO;
-AFERIRCILINDROHIDRÁULICONABANCADADETESTE;
-PINTAROCILINDRONACORORIGINAL(PINTURAÁREVOLVER);
-MONTAREINSTALAROCILINDROHIDRÁULICONAVIATURA;
-TESTARTODOOCONJUNTOHIDRÁULICOEASINSTALAÇÕES.
FORNECERESUBSTITUIR:
-TROCARTODASASVEDAÇÕES(FORNECERTODASORIGINAIS);
-TROCAROSBICOSDELUBRIFICAÇÃOEENGRAXAR;
-TROCAROSPARAFUSOSDEFIXAÇÃO,COMDUREZAIGUALAOORIGINALDEFÁBRICADAVIATURA;
-TROCADAVÁLVULADERETENÇÃO,BEMCOMOOALOJAMENTODAREFERIDAVÁLVULA,DEIXANDO
EMPLENACONDIÇÕESDEUSO.
TANQUE,MANGUEIRASECONEXÕES.
-REMOVER02TANQUESDEÓLEO;
-REALIZARLIMPEZAEDESCONTAMINAÇÃOINTERNAEEXTERNA;
-VERIFICARECORRIGIRQUANTOAPOSSÍVEISTRINCAS;
-FORNECERESUBSTITUIRTAMPASEVEDAÇÕES;
-FORNECERESUBSTITUIRTODASASMANGUEIRASECONEXÕESDOSISTEMAHIDRÁULICO;
-FORNECERESUBSTITUIROSFILTROSDOSISTEMAHIDRÁULICO;
ALAVANCASEACIONAMENTOS
-FORNECERESUBSTITUIR,ANÉISDEVEDAÇÃO,ORING'S,COIFASDEPROTEÇÃO,MANOPLAS,MONTAR,TESTAR,
DEXAREMCONDIÇÕESNORMAISDEOPERAÇÃO.
PAINELDOGERADOR
-RECONDICIONAMENTOCOMPLETODOPAINELDECONTROLEEMONITORAMENTODOSISTEMAGERADOR;
FORNECERESUBSTITUIR01CHAVEGERAL;
-FORNECERESUBSTITUIR02LÂMPADASDEILUMINAÇÃODOPAINEL;
-FORNECERESUBSTITUIR08BOTÕESDEPULSO;
-FORNECERESUBSTITUIR02CHAVESDEPULSO;
-FORNECERESUBSTITUIR01CHAVEDE03ESTÁGIOS;
-FORNECERESUBSTITUIR01CHAVEDE07ESTÁGIOS;

-FORNECERESUBSTITUIR03TOMADASDOTIPO2P+T;
-FORNECERESUBSTITUIR03TOMADASDOTIPO3P+N+T,MODELOSTECK,PADRÃO6H;
TORREDEILUMINAÇÃO
-RECONDICIONARCILINDRO,CORPOEPISTÃODOSISTEMAPNEUMÁTICODEELEVAÇÃODATORREDEILUMINAÇÃO;
-FORNECERESUBSTITUIRANÉISDEVEDAÇÃO,ORING’S,RETENTORES,TUBULAÇÕES,MANGUEIRAS,
CONEXÕESPNEUMÁTICASPERIFÉRICAS,BRUNIRECROMARCAMISADOCILINDRO;
GUINCHODEARRASTE
-FORNECERESUBSTITUIRCABODEAÇODOGUINCHODEARRASTECONFORMEORIGINAL;
-FORNECERESUBSTITUIRMOTORDOGUINCHODEARRASTECONFORMEESPECIFICAÇÕESORIGINAIS.
BATERIASDOIMPLEMENTO
-FORNECERESUBSTITUIR02BATERIASDE12V/150A.
ELETRICA
FORNECER/SUBSTITUIR.
FORNECERESUBSTITUIR01ALTERNADOR.
FORNECERESUBSTITUIR01MOTORDEPARTIDA.
FORNECERESUBSTITUIR02BATERIASDE150A.
FORNECERESUBSTITUIR04TERMINAISDEBATERIA.
FORNECERESUBSTITUIR01BARRASINALIZADORA.
FORNECERESUBSTITUIR02SINALIZADORESTRASEIRO(COJACK).
FORNECERESUBSTITUIR01MODULODABARRASINALIZADORAESIRENE.
FORNECERESUBSTITUIR02DRIVESDESOM.
FORNECERESUBSTITUIR01BITONALCOMKITPARAINSTALAÇÃO.
FORNECERESUBSTITUIR02FAROLETESDEILUMINAÇÃODIANTEIRADELED.
FORNECERESUBSTITUIRFAROLETES02DEILUMINAÇÃOTRASEIRADELED.
FORNECERESUBSTITUIRCONJ.DESINALIZAÇÃOTRASEIRA(LUZDEFREIO/LANTERNA/SETAS/RÉ).
FORNECERESUBSTITUIRCONJ.DESINALIZAÇÃODIANTEIRA(LANTERNA/FAROL/ALTO/BAIXO/SETAS).
FORNECERESUBSTITUIRCONJ.DESINALIZAÇÕESDEDIREÇÕESLATERAIS(LDELE).
FORNECERESUBSTITUIRLUZVIGIADIANTEIRA(TETO).
FORNECERESUBSTITUIRLUZVIGIATRASEIRA(ESTRIBO).
FORNECERESUBSTITUIR02BUZINAS.
FORNECERESUBSTITUIR02PALHETASDOSLIMPADORESDEPARA-BRISACOMHASTES.
FORNECERESUBSTITUIR02MOTORESDOLIMPADODOPARA-BRISA.
FORNECER10BOTÕESDEACIONAMENTOECOMANDODEIMPLEMENTOS.
FORNECEREINSTALARMOTORDERECOLHIMENTODOMANGOTINHO.
FORNECEREINSTALARMODULODEINJEÇÃOELETRÔNICA.
FORNECEREINSTALARLÂMPADASDEILUMINAÇÃODOPAINELDEINSTRUMENTOS.
REPARAR/INSTALAR:
REPARARCHICOTEDEIMPLEMENTOS.
REPARARILUMINAÇÃOINTERNADACABINE.
REPARARILUMINAÇÃODASGAVETASDEIMPLEMENTOS.
REPARARILUMINAÇÃODOCORPODABOMBA.
INSTALAR10BOTÕESDEACIONAMENTOECOMANDODEIMPLEMENTOS.
REPARARCHICOTEDEACIONAMENTODABUZINA.
REPARARCHICOTEDEATERRAMENTO.
REPARARCHICOTEDEFORÇA CORRETIVA ***** R$- CANCELADONANEO VIATURASERÁDESCARREGADA"
 MANUTENÇÃO-2025,83,GMT-0700,PNEU,"6.3E+31 ***** WED MAR 12 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17105 67100 REVISÃODASRODASDIANTEIRAS;TROCADASJUNTASDASTAMPASDOSCUBOSDERODASDIANTEIRAS;ALINHAMENTOEBALANCEAMENTO;TROCADOSDOISPNEUSDIANTEIROS;ÓLEOHIDRÁULICO;TROCADOSDOISCILINDROSDEBASCULAMENTODACABINE CORRETIVA DUTRAMOLAS R$4.238,24 CONCLUÍDO OBS.:SERVIÇOPAGOPELAPREFEITURADEGMA"
 MANUTENÇÃO-2025,86,GMT-0800,PNEU,"***** ***** TUE FEB 25 2025 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) MOB-17107 51100 TROCADOSPNEUSDIANT.ETRAS.EDACÂMARADEARTRAS. CORRETIVA JUNIORMOTOS R$1.143,90 CONCLUÍDO "
 MANUTENÇÃO-2025,95,GMT-0700,PNEU,***** ***** SUN MAR 30 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) TP-17001 30591 REVISÃOPERIÓDICACONTEMPLANDOOSSEGUINTESSERVIÇOS:RODÍZIODEPNEUS;TROCADOFILTRODEÓLEODOMOTOR;TROCADAJUNTADEALUMÍNIO(ARRUELA)DOPARAFUSODOBUJÃODOCÁRTER;TROCADOFILTRODECOMBUSTÍVEL;TROCADOÓLEODOMOTOR) PREVENTIVA TOYOTAMOGI R$- CONCLUÍDO 
 MANUTENÇÃO-2025,111,ABS-17204,PNEU,***** 3628 ***** ABS-17204 ***** DESMONTAGEMEMONTAGEMDATUBULAÇÃODEADMISSÃODABOMBADECOMBATEAINCÊNDIOPARAREPAROPORSOLDAMIG;CONSERTODEPONTODEVAZAMENTONOTANQUED'AGUAPORSOLDAGEM;RECUPERARBASEDOSROLAMENTOSDOEIXODABOMBA;JOGODEROLAMENTODATOMADADEFORÇA;JGRETENTORBOMBAINCENDIO;JOGODEJUNTADABOMBADEINCENDIO;RETIFICAR/FREZARENGRENAGENS;VALVULAPNEUMATICOBOMBADEINCENDIO. CORRETIVA ***** R$- CANCELADONANEO SERVIÇOSERÁREALIZADOCOMRECURSODOMUNICIPIO
 MANUTENÇÃO-2025,112,GMT-0700,EMBREAGEM,"***** 3637 TUE MAY 20 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) CA-17001 255300 1.	FORNECERESUBSTITUIRKITDEEMBREAGEM;
2.	FORNECERESUBSTITUIRKITDEATUADORESDEEMBREAGEM;
3.	FORNECERESUBSTITUIRFLUÍDODEACIONAMENTODAEMBREAGEM; CORRETIVA CURIÓ R$6.596,01 FINALIZADONANEO "
 MANUTENÇÃO-2025,114,GMT-0700,PNEU,"***** 3639 TUE JUL 01 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) CA-17001 ??? 1.FORNECERESUBSTITUIR02PNEUSDIANTEIROS7.50R16;
2.EXECUTARALINHAMENTODEDIREÇÃO;
3.EXECUTAR02BALANCEAMENTOSDERODAS; CORRETIVA JKAR R$4.877,80 FINALIZADONANEO "
 MANUTENÇÃO-2025,118,GMT-0700,PNEU,"81 3689 TUE JUN 10 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) AC-17001 64078 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHA,MARCA265/65R17GOODYEARWORKHORSEAT;
2.FORNECERESUBSTITUIR,04BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOE04BALANCEAMENTO. PREVENTIVA BHB R$6.225,90 FINALIZADONANEO "
 MANUTENÇÃO-2025,135,GMT-0700,PNEU,"96 ***** SUN MAY 18 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17101 70695 REPAROCOMSOLDAEADAPTAÇÃODOSUPORTEDAALAVANCADEENGATEPNEUMÁTICODACAIXADETRANSFERÊNCIADABOMBADEINCÊNDIO CORRETIVA MOTOMEC R$191,88 CONCLUÍDO "
 MANUTENÇÃO-2025,151,GMT-0700,EMBREAGEM,"***** 3819 THU JUN 05 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) MO-17001 161781 FORNECERESUBSTITUIRKITDEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE(CONJUNTOKITDEEMBREAGEM;GARFODAEMBREAGEM;EIXO;20L-OLEOTRANSMISSAO;RETIFICAR-VOLANTEMOTOR). CORRETIVA RPTRUCK R$3.676,23 CONCLUÍDO "
 MANUTENÇÃO-2025,164,ABS-17205,PNEU,"***** 3893 ***** ABS-17205 ***** 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHA,MARCABRIDGESTONE-275/80R22.5;
2.FORNECERESUBSTITUIR,04(QUATRO)BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA ***** R$- CANCELADONANEO PNEUSFORNECIDOSPELOCSM"
 MANUTENÇÃO-2025,173,GMT-0700,PNEU,"***** 3981 MON AUG 11 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) MOB-17108 55399 1.FORNECERESUBSTITUIRBUCHASDASUSPENSÃOTRASEIRAELUBRIFICAÇÃOCONFORMEESPECIFICAÇÃODOFABRICANTE;
2.SUBSTITUIR01PNEUTRASEIROE01PNEUDIANTEIROQUESERÃOFORNECIDOSPELAUNIDADE.
3.FORNECERESUBSTITUIR02CÂMARADEARCONFORMEESPECIFICAÇÃODOFABRICANTE;
4.FORNECERESUBSTITUIR02VALVULASDEPNEUCONFORMEESPECIFICAÇÃODOFABRICANTE. CORRETIVA TOTALMOTOS R$956,63 FINALIZADONANEO "
 MANUTENÇÃO-2025,186,GMT-0700,EMBREAGEM,"***** 4079 SAT AUG 16 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) UR-17101 49862 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA JKAR R$12.567,24 FINALIZADONANEO "
 MANUTENÇÃO-2025,205,ABS-17103,PNEU,"***** 4139 ??? ABS-17103 ??? 1.FORNECERESUBSTITUIR,02(QUATRO)PNEUSDEPRIMEIRALINHA,PODENDOSERDASSEGUINTESMARCAS:BRIDGESTONE,ANTEO,PIRELLI,GOODYEAR,CONTINENTAL,DUNLOP-275/80R22.5;
2.FORNECERESUBSTITUIR,02(QUATRO)BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA APICEMOGI R$6.315,98 FINALIZADONANEO "
 MANUTENÇÃO-2025,221,GMT-0700,PNEU,"150 ***** WED MAY 14 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17106 51056 1.SUBSTITUIRDOISPNEUSDIANTEIROS(OSPNEUSSERÃOFORNECIDOSPELOCORPODEBOMBEIROS17ºGB);
2.FORNECERESUBSTITUIRDUASVÁLVULASDEPNEUCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECEREEXECUTARDOISBALANCEAMENTOS;
 PREVENTIVA TRUCKCENTER R$220,00 CONCLUÍDO "
 MANUTENÇÃO-2025,222,UR-17102,PNEU,"***** 4258 ***** UR-17102 ***** 1.SUBSTITUIRQUATROPNEUS(OSPNEUSSERÃOFORNECIDOSPELOCORPODEBOMBEIROS17ºGB);
2.FORNECERESUBSTITUIRQUATROVÁLVULASDEPNEUCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECEREEXECUTARQUATROBALANCEAMENTOS;
4EXECUTARALINHAMENTODEDIREÇÃO. PREVENTIVA ***** R$- CANCELADONANEO ERRONASOLICITAÇÃODESERVIÇOS"
 MANUTENÇÃO-2025,248,GMT-0700,PNEU,"189 ***** SUN AUG 24 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) UR-17102 ??? MONTAGEMDE04PNEUS,ALINHAMENTOEBALANCEAMENTO PREVENTIVA PAIVAPNEUS R$280,00 CONCLUÍDO "
 MANUTENÇÃO-2025,249,GMT-0700,EMBREAGEM,188 ***** TUE AUG 19 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) MOB-17106 ??? TROCADOCABODEEMBREAGEM CORRETIVA TOTALMOTOS ??? CONCLUÍDO 
 MANUTENÇÃO-2025,253,GMT-0700,PNEU,"150 ***** THU AUG 14 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17106 ??? MONTAGEMDOPNEUDIANTEIROEDOISBALANCEAMENTOS CORRETIVA TRUCKCENTER R$220,00 CONCLUÍDO "
 MANUTENÇÃO-2025,256,GMT-0700,PNEU,"172 ***** SUN JUL 27 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17102 ??? TROCADEDOISPNEUSEMONTAGEMDOSPNEUSDIANTEIROS CORRETIVA SERGIPANA R$1.966,00 CONCLUÍDO "
 MANUTENÇÃO-2025,258,GMT-0700,PNEU,"170 ***** FRI AUG 01 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) MOB-17107 ??? TROCADACAMARADEAREMONTAGEMDEPNEUTRASEIRO CORRETIVA TOTALMOTOS R$78,00 CONCLUÍDO "
 MANUTENÇÃO-2025,260,AC-17002,PNEU,"***** 4377 ??? AC-17002 ??? 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHA,PODENDOSERDASSEGUINTESMARCAS:BRIDGESTONE,ANTEO,PIRELLI,GOODYEAR,CONTINENTAL,DUNLOP,MICHELIN-265/70R16;
2.FORNECERESUBSTITUIR,04(QUATRO)BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. CORRETIVA PNEUCERTO R$5.456,36 FINALIZADONANEO "
 MANUTENÇÃO-2025,263,UR-17102,EMBREAGEM,"***** 4387  UR-17102  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA   FINALIZADONANEO "
